process,temp,supply,control,corner name,bgr_tran_02_sat_check,bgr_tran_13_sat_check,bgr_tran_14_sat_check,bgr_tran_15_sat_check,bgr_tran_16_sat_check,bgr_tran_17_sat_check,bgr_tran_18_sat_check,bgr_tran_19_sat_check,bgr_tran_20_sat_check,bgr_tran_21_sat_check,bgr_tran_22_sat_check,bgr_tran_23_sat_check,bgr_tran_24_sat_check,gmn (mS),gmp (mS),I_left (mA),I_right (mA),I_tail (mA),nmos_sat_check,pmos_sat_check,tail_sat_check,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,-40,1.1,0.6,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.213394,True,2.383933,
ff,-40,1.1,0.7,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.302112,True,2.409309,
ff,-40,1.1,0.8,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.38292,True,2.437817,
ff,-40,1.1,0.9,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.464774,True,2.46709,
ff,-40,1.1,1.0,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.530008,True,2.498048,
ff,-40,1.1,1.1,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.590784,True,2.528423,
ff,-40,1.1,1.2,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.64404,True,2.555334,
ff,-40,1.1,1.3,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.685766,True,2.575409,
ff,-40,1.1,1.4,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.714016,True,2.586646,
ff,-40,1.1,1.5,"ff,-40,1.1",True,True,True,True,True,True,True,True,True,True,True,True,True,2.378983e+01,1.492332e+01,1.182823e+00,1.182823e+00,2.365646e+00,True,True,True,5.5278,7.998331e-01,7.998331e-01,3.728324,True,2.591751,
