 time       v(up)      v(dn)      v(FB)      v(REF)    
 1.203e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.213e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.223e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.233e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.243e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.253e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.263e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.273e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.283e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.293e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.303e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.313e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.323e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.333e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.343e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.353e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.363e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.373e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.383e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.393e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.403e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.413e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.423e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.433e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.443e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.453e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
 1.463e-09  4.649e-07  4.649e-07  0.000e+00  0.000e+00 
