process,temp,supply,control,corner name,iref
ss,-40,1.1,0.9,"ss,-40,1.1",2.283421e+00
ss,0,0.9,0.9,"ss,0,0.9",1.743821e-01
ss,20,1.0,0.9,"ss,20,1.0",1.662996e+00
ss,-10,0.9,0.9,"ss,-10,0.9",1.197427e-01
ss,-20,0.9,0.9,"ss,-20,0.9",7.995206e-02
ss,30,1.0,0.9,"ss,30,1.0",8.840518e+01
ss,50,0.9,0.9,"ss,50,0.9",7.398383e-01
ss,40,1.0,0.9,"ss,40,1.0",2.280863e+00
ss,20,0.9,0.9,"ss,20,0.9",3.390501e-01
ss,10,1.0,0.9,"ss,10,1.0",1.369949e+00
ss,10,0.9,0.9,"ss,10,0.9",7.500504e+01
ss,60,0.9,0.9,"ss,60,0.9",8.540491e+01
ss,20,1.1,0.9,"ss,20,1.1",8.977690e+01
ss,30,0.9,0.9,"ss,30,0.9",8.336651e+01
ss,50,1.0,0.9,"ss,50,1.0",8.832140e+01
ss,-40,1.0,0.9,"ss,-40,1.0",3.176994e-01
ss,-10,1.1,0.9,"ss,-10,1.1",8.943950e+01
ss,-40,0.9,0.9,"ss,-40,0.9",3.266797e-02
ss,30,1.1,0.9,"ss,30,1.1",8.978261e+01
ss,40,0.9,0.9,"ss,40,0.9",5.863744e-01
ss,-30,1.1,0.9,"ss,-30,1.1",2.796764e+00
ss,-30,1.0,0.9,"ss,-30,1.0",8.419251e+01
ss,10,1.1,0.9,"ss,10,1.1",6.865353e+01
ss,-10,1.0,0.9,"ss,-10,1.0",8.496006e-01
ss,0,1.1,0.9,"ss,0,1.1",8.960878e+01
ss,0,1.0,0.9,"ss,0,1.0",1.096472e+00
ss,40,1.1,0.9,"ss,40,1.1",8.973699e+01
fs,40,1.0,0.9,"fs,40,1.0",8.487802e+01
sf,-10,1.1,0.9,"sf,-10,1.1",9.062168e+01
sf,0,1.0,0.9,"sf,0,1.0",8.815588e+01
sf,120,1.0,0.9,"sf,120,1.0",8.701964e+01
sf,110,1.0,0.9,"sf,110,1.0",8.751185e+01
sf,120,0.9,0.9,"sf,120,0.9",8.518028e+01
sf,110,1.1,0.9,"sf,110,1.1",8.891987e+01
fs,-40,1.0,0.9,"fs,-40,1.0",3.140764e+00
fs,-40,1.1,0.9,"fs,-40,1.1",8.622386e+01
sf,120,1.1,0.9,"sf,120,1.1",8.847889e+01
fs,-40,0.9,0.9,"fs,-40,0.9",3.836814e-01
fs,-30,1.0,0.9,"fs,-30,1.0",3.951719e+00
fs,-30,0.9,0.9,"fs,-30,0.9",5.558945e-01
fs,-20,1.1,0.9,"fs,-20,1.1",8.669696e+01
fs,-30,1.1,0.9,"fs,-30,1.1",1.520497e+01
fs,-10,0.9,0.9,"fs,-10,0.9",1.064800e+00
sf,110,0.9,0.9,"sf,110,0.9",8.568125e+01
fs,-20,0.9,0.9,"fs,-20,0.9",7.816254e-01
fs,-20,1.0,0.9,"fs,-20,1.0",8.486759e+01
fs,-10,1.1,0.9,"fs,-10,1.1",8.684223e+01
fs,0,1.1,0.9,"fs,0,1.1",8.692991e+01
fs,10,0.9,0.9,"fs,10,0.9",8.135319e+01
