process,temp,supply,control,UP,Down,corner name,i_out
ff,27,1.1,1.0,1.8,1.8,"ff,27,1.1",-0.20107
ff,27,1.1,1.1,1.8,1.8,"ff,27,1.1",-0.234589
ff,27,1.1,1.2,1.8,1.8,"ff,27,1.1",-0.27244
ff,27,1.1,1.3,1.8,1.8,"ff,27,1.1",-0.316775
ff,27,1.1,1.4,1.8,1.8,"ff,27,1.1",-0.371153
ff,27,1.1,1.5,1.8,1.8,"ff,27,1.1",-0.450904
ff,27,1.1,1.6,1.8,1.8,"ff,27,1.1",-0.72338
ff,27,1.1,1.7,1.8,1.8,"ff,27,1.1",-2.84691
ff,27,1.1,1.8,1.8,1.8,"ff,27,1.1",-14.1961
fs,-40,0.9,0.0,1.8,1.8,"fs,-40,0.9",93.70819
fs,-40,0.9,0.1,1.8,1.8,"fs,-40,0.9",26.05149
fs,-40,0.9,0.2,1.8,1.8,"fs,-40,0.9",0.4689252
fs,-40,0.9,0.3,1.8,1.8,"fs,-40,0.9",-4.98639
fs,-40,0.9,0.4,1.8,1.8,"fs,-40,0.9",-5.95128
fs,-40,0.9,0.5,1.8,1.8,"fs,-40,0.9",-6.1225
fs,-40,0.9,0.6,1.8,1.8,"fs,-40,0.9",-6.20154
fs,-40,0.9,0.7,1.8,1.8,"fs,-40,0.9",-6.25281
fs,-40,0.9,0.8,1.8,1.8,"fs,-40,0.9",-6.28631
fs,-40,0.9,0.9,1.8,1.8,"fs,-40,0.9",-6.30519
fs,-40,0.9,1.0,1.8,1.8,"fs,-40,0.9",-6.32508
fs,-40,0.9,1.1,1.8,1.8,"fs,-40,0.9",-6.36009
fs,-40,0.9,1.2,1.8,1.8,"fs,-40,0.9",-6.43779
fs,-40,0.9,1.3,1.8,1.8,"fs,-40,0.9",-6.94967
fs,-40,0.9,1.4,1.8,1.8,"fs,-40,0.9",-10.691
fs,-40,0.9,1.5,1.8,1.8,"fs,-40,0.9",-30.8713
fs,-40,0.9,1.6,1.8,1.8,"fs,-40,0.9",-84.9042
fs,-40,0.9,1.7,1.8,1.8,"fs,-40,0.9",-176.558
fs,-40,0.9,1.8,1.8,1.8,"fs,-40,0.9",-305.308
fs,-40,1.0,0.0,1.8,1.8,"fs,-40,1.0",99.4643
fs,-40,1.0,0.1,1.8,1.8,"fs,-40,1.0",31.80852
fs,-40,1.0,0.2,1.8,1.8,"fs,-40,1.0",6.226938
fs,-40,1.0,0.3,1.8,1.8,"fs,-40,1.0",0.7726687
fs,-40,1.0,0.4,1.8,1.8,"fs,-40,1.0",-0.191108
fs,-40,1.0,0.5,1.8,1.8,"fs,-40,1.0",-0.361116
fs,-40,1.0,0.6,1.8,1.8,"fs,-40,1.0",-0.438838
fs,-40,1.0,0.7,1.8,1.8,"fs,-40,1.0",-0.488632
fs,-40,1.0,0.8,1.8,1.8,"fs,-40,1.0",-0.520418
fs,-40,1.0,0.9,1.8,1.8,"fs,-40,1.0",-0.536895
fs,-40,1.0,1.0,1.8,1.8,"fs,-40,1.0",-0.551488
fs,-40,1.0,1.1,1.8,1.8,"fs,-40,1.0",-0.573481
fs,-40,1.0,1.2,1.8,1.8,"fs,-40,1.0",-0.604452
fs,-40,1.0,1.3,1.8,1.8,"fs,-40,1.0",-0.648773
fs,-40,1.0,1.4,1.8,1.8,"fs,-40,1.0",-0.752747
fs,-40,1.0,1.5,1.8,1.8,"fs,-40,1.0",-1.59298
fs,-40,1.0,1.6,1.8,1.8,"fs,-40,1.0",-7.17006
fs,-40,1.0,1.7,1.8,1.8,"fs,-40,1.0",-34.887
fs,-40,1.0,1.8,1.8,1.8,"fs,-40,1.0",-99.9751
fs,-40,1.1,0.0,1.8,1.8,"fs,-40,1.1",99.82512
fs,-40,1.1,0.1,1.8,1.8,"fs,-40,1.1",32.16978
fs,-40,1.1,0.2,1.8,1.8,"fs,-40,1.1",6.588659
fs,-40,1.1,0.3,1.8,1.8,"fs,-40,1.1",1.134882
fs,-40,1.1,0.4,1.8,1.8,"fs,-40,1.1",0.1716272
fs,-40,1.1,0.5,1.8,1.8,"fs,-40,1.1",0.002177114
fs,-40,1.1,0.6,1.8,1.8,"fs,-40,1.1",-0.0749425
fs,-40,1.1,0.7,1.8,1.8,"fs,-40,1.1",-0.124078
fs,-40,1.1,0.8,1.8,1.8,"fs,-40,1.1",-0.155115
fs,-40,1.1,0.9,1.8,1.8,"fs,-40,1.1",-0.170601
fs,-40,1.1,1.0,1.8,1.8,"fs,-40,1.1",-0.183238
fs,-40,1.1,1.1,1.8,1.8,"fs,-40,1.1",-0.201301
fs,-40,1.1,1.2,1.8,1.8,"fs,-40,1.1",-0.225148
fs,-40,1.1,1.3,1.8,1.8,"fs,-40,1.1",-0.254286
fs,-40,1.1,1.4,1.8,1.8,"fs,-40,1.1",-0.289903
fs,-40,1.1,1.5,1.8,1.8,"fs,-40,1.1",-0.338894
fs,-40,1.1,1.6,1.8,1.8,"fs,-40,1.1",-0.470999
fs,-40,1.1,1.7,1.8,1.8,"fs,-40,1.1",-1.6387
fs,-40,1.1,1.8,1.8,1.8,"fs,-40,1.1",-9.32838
fs,125,0.9,0.0,1.8,1.8,"fs,125,0.9",99.07265
fs,125,0.9,0.1,1.8,1.8,"fs,125,0.9",51.98862
fs,125,0.9,0.2,1.8,1.8,"fs,125,0.9",21.81841
fs,125,0.9,0.3,1.8,1.8,"fs,125,0.9",6.578122
fs,125,0.9,0.4,1.8,1.8,"fs,125,0.9",1.065801
fs,125,0.9,0.5,1.8,1.8,"fs,125,0.9",-0.280359
fs,125,0.9,0.6,1.8,1.8,"fs,125,0.9",-0.635022
fs,125,0.9,0.7,1.8,1.8,"fs,125,0.9",-0.822635
fs,125,0.9,0.8,1.8,1.8,"fs,125,0.9",-0.960192
fs,125,0.9,0.9,1.8,1.8,"fs,125,0.9",-1.07161
fs,125,0.9,1.0,1.8,1.8,"fs,125,0.9",-1.16996
fs,125,0.9,1.1,1.8,1.8,"fs,125,0.9",-1.29472
fs,125,0.9,1.2,1.8,1.8,"fs,125,0.9",-1.65702
fs,125,0.9,1.3,1.8,1.8,"fs,125,0.9",-3.9319
fs,125,0.9,1.4,1.8,1.8,"fs,125,0.9",-13.6413
fs,125,0.9,1.5,1.8,1.8,"fs,125,0.9",-39.9631
fs,125,0.9,1.6,1.8,1.8,"fs,125,0.9",-87.9156
fs,125,0.9,1.7,1.8,1.8,"fs,125,0.9",-160.064
fs,125,0.9,1.8,1.8,1.8,"fs,125,0.9",-258.772
fs,125,1.0,0.0,1.8,1.8,"fs,125,1.0",99.83754
fs,125,1.0,0.1,1.8,1.8,"fs,125,1.0",52.75465
fs,125,1.0,0.2,1.8,1.8,"fs,125,1.0",22.58565
fs,125,1.0,0.3,1.8,1.8,"fs,125,1.0",7.346678
fs,125,1.0,0.4,1.8,1.8,"fs,125,1.0",1.835829
fs,125,1.0,0.5,1.8,1.8,"fs,125,1.0",0.491474
fs,125,1.0,0.6,1.8,1.8,"fs,125,1.0",0.1397341
fs,125,1.0,0.7,1.8,1.8,"fs,125,1.0",-0.0424415
fs,125,1.0,0.8,1.8,1.8,"fs,125,1.0",-0.171269
fs,125,1.0,0.9,1.8,1.8,"fs,125,1.0",-0.269214
fs,125,1.0,1.0,1.8,1.8,"fs,125,1.0",-0.344897
fs,125,1.0,1.1,1.8,1.8,"fs,125,1.0",-0.417677
fs,125,1.0,1.2,1.8,1.8,"fs,125,1.0",-0.505221
fs,125,1.0,1.3,1.8,1.8,"fs,125,1.0",-0.637925
fs,125,1.0,1.4,1.8,1.8,"fs,125,1.0",-1.09916
fs,125,1.0,1.5,1.8,1.8,"fs,125,1.0",-4.05783
fs,125,1.0,1.6,1.8,1.8,"fs,125,1.0",-16.1681
fs,125,1.0,1.7,1.8,1.8,"fs,125,1.0",-47.1581
fs,125,1.0,1.8,1.8,1.8,"fs,125,1.0",-101.515
fs,125,1.1,0.0,1.8,1.8,"fs,125,1.1",100.1432
fs,125,1.1,0.1,1.8,1.8,"fs,125,1.1",53.06104
fs,125,1.1,0.2,1.8,1.8,"fs,125,1.1",22.89279
fs,125,1.1,0.3,1.8,1.8,"fs,125,1.1",7.654647
fs,125,1.1,0.4,1.8,1.8,"fs,125,1.1",2.144717
fs,125,1.1,0.5,1.8,1.8,"fs,125,1.1",0.8014857
fs,125,1.1,0.6,1.8,1.8,"fs,125,1.1",0.451587
fs,125,1.1,0.7,1.8,1.8,"fs,125,1.1",0.2728852
fs,125,1.1,0.8,1.8,1.8,"fs,125,1.1",0.1493006
fs,125,1.1,0.9,1.8,1.8,"fs,125,1.1",0.05855431
fs,125,1.1,1.0,1.8,1.8,"fs,125,1.1",-0.00722362
fs,125,1.1,1.1,1.8,1.8,"fs,125,1.1",-0.0655507
fs,125,1.1,1.2,1.8,1.8,"fs,125,1.1",-0.128862
fs,125,1.1,1.3,1.8,1.8,"fs,125,1.1",-0.202383
fs,125,1.1,1.4,1.8,1.8,"fs,125,1.1",-0.296467
fs,125,1.1,1.5,1.8,1.8,"fs,125,1.1",-0.460723
fs,125,1.1,1.6,1.8,1.8,"fs,125,1.1",-1.15945
fs,125,1.1,1.7,1.8,1.8,"fs,125,1.1",-5.33319
fs,125,1.1,1.8,1.8,1.8,"fs,125,1.1",-21.3128
fs,27,0.9,0.0,1.8,1.8,"fs,27,0.9",97.24946
fs,27,0.9,0.1,1.8,1.8,"fs,27,0.9",39.65711
fs,27,0.9,0.2,1.8,1.8,"fs,27,0.9",9.798857
fs,27,0.9,0.3,1.8,1.8,"fs,27,0.9",0.09335354
fs,27,0.9,0.4,1.8,1.8,"fs,27,0.9",-2.08679
fs,27,0.9,0.5,1.8,1.8,"fs,27,0.9",-2.46974
fs,27,0.9,0.6,1.8,1.8,"fs,27,0.9",-2.60707
fs,27,0.9,0.7,1.8,1.8,"fs,27,0.9",-2.68985
fs,27,0.9,0.8,1.8,1.8,"fs,27,0.9",-2.74765
fs,27,0.9,0.9,1.8,1.8,"fs,27,0.9",-2.79166
fs,27,0.9,1.0,1.8,1.8,"fs,27,0.9",-2.83489
fs,27,0.9,1.1,1.8,1.8,"fs,27,0.9",-2.89637
fs,27,0.9,1.2,1.8,1.8,"fs,27,0.9",-3.047
fs,27,0.9,1.3,1.8,1.8,"fs,27,0.9",-4.11047
fs,27,0.9,1.4,1.8,1.8,"fs,27,0.9",-10.3576
fs,27,0.9,1.5,1.8,1.8,"fs,27,0.9",-34.4685
fs,27,0.9,1.6,1.8,1.8,"fs,27,0.9",-86.2407
fs,27,0.9,1.7,1.8,1.8,"fs,27,0.9",-168.328
fs,27,0.9,1.8,1.8,1.8,"fs,27,0.9",-281.841
fs,27,1.0,0.0,1.8,1.8,"fs,27,1.0",99.62097
fs,27,1.0,0.1,1.8,1.8,"fs,27,1.0",42.02957
fs,27,1.0,0.2,1.8,1.8,"fs,27,1.0",12.17234
fs,27,1.0,0.3,1.8,1.8,"fs,27,1.0",2.467922
fs,27,1.0,0.4,1.8,1.8,"fs,27,1.0",0.288945
fs,27,1.0,0.5,1.8,1.8,"fs,27,1.0",-0.0927395
fs,27,1.0,0.6,1.8,1.8,"fs,27,1.0",-0.228655
fs,27,1.0,0.7,1.8,1.8,"fs,27,1.0",-0.30972
fs,27,1.0,0.8,1.8,1.8,"fs,27,1.0",-0.364728
fs,27,1.0,0.9,1.8,1.8,"fs,27,1.0",-0.403005
fs,27,1.0,1.0,1.8,1.8,"fs,27,1.0",-0.435361
fs,27,1.0,1.1,1.8,1.8,"fs,27,1.0",-0.47326
fs,27,1.0,1.2,1.8,1.8,"fs,27,1.0",-0.520932
fs,27,1.0,1.3,1.8,1.8,"fs,27,1.0",-0.588972
fs,27,1.0,1.4,1.8,1.8,"fs,27,1.0",-0.779547
fs,27,1.0,1.5,1.8,1.8,"fs,27,1.0",-2.25274
fs,27,1.0,1.6,1.8,1.8,"fs,27,1.0",-10.6312
fs,27,1.0,1.7,1.8,1.8,"fs,27,1.0",-40.5584
fs,27,1.0,1.8,1.8,1.8,"fs,27,1.0",-100.029
fs,27,1.1,0.0,1.8,1.8,"fs,27,1.1",99.8999
fs,27,1.1,0.1,1.8,1.8,"fs,27,1.1",42.30903
fs,27,1.1,0.2,1.8,1.8,"fs,27,1.1",12.45235
fs,27,1.1,0.3,1.8,1.8,"fs,27,1.1",2.748507
fs,27,1.1,0.4,1.8,1.8,"fs,27,1.1",0.5701472
fs,27,1.1,0.5,1.8,1.8,"fs,27,1.1",0.1891273
fs,27,1.1,0.6,1.8,1.8,"fs,27,1.1",0.05394534
fs,27,1.1,0.7,1.8,1.8,"fs,27,1.1",-0.0262494
fs,27,1.1,0.8,1.8,1.8,"fs,27,1.1",-0.079892
fs,27,1.1,0.9,1.8,1.8,"fs,27,1.1",-0.115492
fs,27,1.1,1.0,1.8,1.8,"fs,27,1.1",-0.143354
fs,27,1.1,1.1,1.8,1.8,"fs,27,1.1",-0.174239
fs,27,1.1,1.2,1.8,1.8,"fs,27,1.1",-0.210227
fs,27,1.1,1.3,1.8,1.8,"fs,27,1.1",-0.252331
fs,27,1.1,1.4,1.8,1.8,"fs,27,1.1",-0.303731
fs,27,1.1,1.5,1.8,1.8,"fs,27,1.1",-0.378471
fs,27,1.1,1.6,1.8,1.8,"fs,27,1.1",-0.631623
fs,27,1.1,1.7,1.8,1.8,"fs,27,1.1",-2.64878
fs,27,1.1,1.8,1.8,1.8,"fs,27,1.1",-13.7271
sf,-40,0.9,0.0,1.8,1.8,"sf,-40,0.9",86.64103
sf,-40,0.9,0.1,1.8,1.8,"sf,-40,0.9",13.76136
sf,-40,0.9,0.2,1.8,1.8,"sf,-40,0.9",-8.23019
sf,-40,0.9,0.3,1.8,1.8,"sf,-40,0.9",-12.43
sf,-40,0.9,0.4,1.8,1.8,"sf,-40,0.9",-13.1186
sf,-40,0.9,0.5,1.8,1.8,"sf,-40,0.9",-13.2623
sf,-40,0.9,0.6,1.8,1.8,"sf,-40,0.9",-13.3424
sf,-40,0.9,0.7,1.8,1.8,"sf,-40,0.9",-13.4043
sf,-40,0.9,0.8,1.8,1.8,"sf,-40,0.9",-13.4583
sf,-40,0.9,0.9,1.8,1.8,"sf,-40,0.9",-13.5075
sf,-40,0.9,1.0,1.8,1.8,"sf,-40,0.9",-13.5542
sf,-40,0.9,1.1,1.8,1.8,"sf,-40,0.9",-13.6241
sf,-40,0.9,1.2,1.8,1.8,"sf,-40,0.9",-13.8894
sf,-40,0.9,1.3,1.8,1.8,"sf,-40,0.9",-15.2929
sf,-40,0.9,1.4,1.8,1.8,"sf,-40,0.9",-21.8536
sf,-40,0.9,1.5,1.8,1.8,"sf,-40,0.9",-43.6983
sf,-40,0.9,1.6,1.8,1.8,"sf,-40,0.9",-88.2643
sf,-40,0.9,1.7,1.8,1.8,"sf,-40,0.9",-158.523
sf,-40,0.9,1.8,1.8,1.8,"sf,-40,0.9",-256.059
sf,-40,1.0,0.0,1.8,1.8,"sf,-40,1.0",98.62409
sf,-40,1.0,0.1,1.8,1.8,"sf,-40,1.0",25.74865
sf,-40,1.0,0.2,1.8,1.8,"sf,-40,1.0",3.76197
sf,-40,1.0,0.3,1.8,1.8,"sf,-40,1.0",-0.432152
sf,-40,1.0,0.4,1.8,1.8,"sf,-40,1.0",-1.11412
sf,-40,1.0,0.5,1.8,1.8,"sf,-40,1.0",-1.24978
sf,-40,1.0,0.6,1.8,1.8,"sf,-40,1.0",-1.32012
sf,-40,1.0,0.7,1.8,1.8,"sf,-40,1.0",-1.36979
sf,-40,1.0,0.8,1.8,1.8,"sf,-40,1.0",-1.40825
sf,-40,1.0,0.9,1.8,1.8,"sf,-40,1.0",-1.43676
sf,-40,1.0,1.0,1.8,1.8,"sf,-40,1.0",-1.4538
sf,-40,1.0,1.1,1.8,1.8,"sf,-40,1.0",-1.46665
sf,-40,1.0,1.2,1.8,1.8,"sf,-40,1.0",-1.48851
sf,-40,1.0,1.3,1.8,1.8,"sf,-40,1.0",-1.55044
sf,-40,1.0,1.4,1.8,1.8,"sf,-40,1.0",-1.86217
sf,-40,1.0,1.5,1.8,1.8,"sf,-40,1.0",-3.83484
sf,-40,1.0,1.6,1.8,1.8,"sf,-40,1.0",-13.508
sf,-40,1.0,1.7,1.8,1.8,"sf,-40,1.0",-43.8711
sf,-40,1.0,1.8,1.8,1.8,"sf,-40,1.0",-100.058
sf,-40,1.1,0.0,1.8,1.8,"sf,-40,1.1",99.69388
