process,temp,supply,control,corner name,Power (mW),vn,vp,differential swing,Oscillation Status,freq (GHZ),failed corners
ff,125,1.0,0.3,"ff,125,1.0",62.61659999999999,8.026508e-01,5.322835e-01,2.58552,True,2.343808,
ff,125,1.0,0.4,"ff,125,1.0",-3.9528000000000003,1.376987e-01,1.123659e+00,2.594328,True,2.385059,
ff,125,1.0,0.5,"ff,125,1.0",-10.8864,1.060950e+00,-6.80180e-03,2.61739,True,2.424952,
ff,125,1.0,0.6,"ff,125,1.0",121.38119999999999,1.500399e-01,9.837559e-01,2.654416,True,2.461367,
ff,125,1.0,0.7,"ff,125,1.0",1840.932,1.014516e+00,2.687255e-01,2.700454,True,2.493836,
ff,125,1.0,0.8,"ff,125,1.0",4.9032,7.179040e-01,7.179185e-01,2.748044,True,2.524002,
ff,125,1.0,0.9,"ff,125,1.0",4.933800000000001,7.179938e-01,7.179619e-01,2.791854,True,2.550287,
ff,125,1.0,1.0,"ff,125,1.0",4.9302,7.179882e-01,7.179659e-01,2.82845,True,2.572747,
ff,125,1.0,1.1,"ff,125,1.0",4.9068000000000005,7.179959e-01,7.179255e-01,2.856138,True,2.589411,
ff,125,1.0,1.2,"ff,125,1.0",6.1091999999999995,7.599344e-01,4.686542e-01,2.874826,True,2.600876,
ff,125,1.0,1.3,"ff,125,1.0",48.6216,1.360209e+00,-3.43138e-02,2.886006,True,2.606678,
ff,125,1.0,1.4,"ff,125,1.0",1247.2758,1.279283e+00,5.655749e-02,2.892032,True,2.610079,
ff,125,1.0,1.5,"ff,125,1.0",-43.738200000000006,1.080779e-01,1.170562e+00,2.895048,True,2.612134,
ff,125,1.0,1.6,"ff,125,1.0",304.83,1.033936e+00,1.329115e-01,2.896506,True,2.612973,
ff,125,1.0,1.7,"ff,125,1.0",16.7922,1.373314e+00,2.679585e-03,2.897204,True,2.613439,
ff,125,1.0,1.8,"ff,125,1.0",-47.1888,3.869238e-02,1.317521e+00,2.897544,True,2.613197,
ff,125,1.1,0.0,"ff,125,1.1",4.2876,1.316760e-01,1.039659e+00,2.643262,True,2.228735,
ff,125,1.1,0.1,"ff,125,1.1",143.5122,-3.38316e-02,1.281471e+00,2.6299,True,2.258771,
ff,125,1.1,0.2,"ff,125,1.1",299.65680000000003,-5.26854e-02,1.261422e+00,2.620032,True,2.294512,
ff,125,1.1,0.3,"ff,125,1.1",346.97339999999997,9.907192e-01,3.199300e-01,2.616744,True,2.335057,
ff,125,1.1,0.4,"ff,125,1.1",447.11280000000005,-4.99975e-05,1.112080e+00,2.62565,True,2.374878,
ff,125,1.1,0.5,"ff,125,1.1",115.5978,2.073437e-01,1.066364e+00,2.648578,True,2.41411,
ff,125,1.1,0.6,"ff,125,1.1",-131.35320000000002,7.584337e-02,1.227778e+00,2.686348,True,2.44947,
ff,125,1.1,0.7,"ff,125,1.1",53.109,4.817142e-02,1.275141e+00,2.733962,True,2.481159,
ff,125,1.1,0.8,"ff,125,1.1",5.058,7.204093e-01,7.203538e-01,2.783958,True,2.510256,
ff,125,1.1,0.9,"ff,125,1.1",5.059800000000001,7.203737e-01,7.203617e-01,2.830642,True,2.536738,
ff,125,1.1,1.0,"ff,125,1.1",5.0382,7.203919e-01,7.203775e-01,2.870408,True,2.559541,
ff,125,1.1,1.1,"ff,125,1.1",5.0382,7.203868e-01,7.203722e-01,2.901236,True,2.576847,
ff,125,1.1,1.2,"ff,125,1.1",-137.10240000000002,1.324852e+00,-5.31609e-02,2.922682,True,2.588701,
